"locale","status","label_key","json_file"
"pl","missing","topTooltipText","airdrop.json"
"pl","missing","topTooltipTitle","airdrop.json"
"pl","missing","claimModalFinePrint","airdrop.json"
"pl","missing","inviteFriendsText","airdrop.json"
"pl","extraneous","connected-to-tari-network","settings.json"
"pl","extraneous","mining-button-text.pause-mining","mining-view.json"
"pl","extraneous","not-connected-to-tari-network","settings.json"
"cn","missing","topTooltipText","airdrop.json"
"cn","missing","topTooltipTitle","airdrop.json"
"cn","missing","claimModalFinePrint","airdrop.json"
"cn","missing","inviteFriendsText","airdrop.json"
"cn","extraneous","mining-button-text.pause-mining","mining-view.json"
"ja","missing","topTooltipText","airdrop.json"
"ja","missing","topTooltipTitle","airdrop.json"
"ja","missing","claimModalFinePrint","airdrop.json"
"ja","missing","inviteFriendsText","airdrop.json"
"ja","extraneous","mining-button-text.pause-mining","mining-view.json"
"ru","missing","topTooltipText","airdrop.json"
"ru","missing","topTooltipTitle","airdrop.json"
"ru","missing","claimModalFinePrint","airdrop.json"
"ru","missing","inviteFriendsText","airdrop.json"
"ru","extraneous","mining-button-text.pause-mining","mining-view.json"
"af","missing","topTooltipText","airdrop.json"
"af","missing","topTooltipTitle","airdrop.json"
"af","missing","claimModalFinePrint","airdrop.json"
"af","missing","inviteFriendsText","airdrop.json"
"af","extraneous","mining-button-text.pause-mining","mining-view.json"
"hi","missing","topTooltipText","airdrop.json"
"hi","missing","topTooltipTitle","airdrop.json"
"hi","missing","claimModalFinePrint","airdrop.json"
"hi","missing","inviteFriendsText","airdrop.json"
"hi","extraneous","mining-button-text.pause-mining","mining-view.json"
"ko","missing","topTooltipText","airdrop.json"
"ko","missing","topTooltipTitle","airdrop.json"
"ko","missing","claimModalFinePrint","airdrop.json"
"ko","missing","inviteFriendsText","airdrop.json"
"ko","extraneous","mining-button-text.pause-mining","mining-view.json"
"id","missing","topTooltipText","airdrop.json"
"id","missing","topTooltipTitle","airdrop.json"
"id","missing","claimModalFinePrint","airdrop.json"
"id","missing","inviteFriendsText","airdrop.json"
"id","extraneous","mining-button-text.pause-mining","mining-view.json"
"tr","missing","topTooltipText","airdrop.json"
"tr","missing","topTooltipTitle","airdrop.json"
"tr","missing","claimModalFinePrint","airdrop.json"
"tr","missing","inviteFriendsText","airdrop.json"
"tr","extraneous","mining-button-text.pause-mining","mining-view.json"
